0,1,2,3,is_facility
Assiniboine & Sioux Tribes of the Fort Peck Reservation,Fred's Grill and Casino fka B & S Laundry,"P.O. Box 1027, Poplar MT 59255",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Assiniboine & Sioux Tribes of the Fort Peck Reservation,Tavern Casino,"P.O. Box 1027, Poplar MT 59255",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Assiniboine & Sioux Tribes of the Fort Peck Reservation,Tribal Express Casino,"P.O. Box 1027, Poplar MT 59255",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Assiniboine & Sioux Tribes of the Fort Peck Reservation,T.J.'s Quick Stop,"P.O. Box 1027, Poplar MT 59255",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Assiniboine & Sioux Tribes of the Fort Peck Reservation,Silver Wolf Casino,"P.O. Box 1027, Poplar MT 59255",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Assiniboine & Sioux Tribes of the Fort Peck Reservation,Git-N-Go,"P.O. Box 1027, Poplar MT 59255",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Augustine Band of Cahuilla Indians,"P.O. Box 846 84481 Avenue 54, Coachella CA 92236",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: hhaines@augustinetribe.com,FALSE
Augustine Band of Cahuilla Indians,Augustine Casino,"P.O. Box 846 84481 Avenue 54, Coachella CA 92236",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Bad River Band of Lake Superior Tribe of Chippewa Indians,"P.O. Box 39, Odanah WI 54861",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: r.blanchard@badriver-nsn.gov,FALSE
Bad River Band of Lake Superior Tribe of Chippewa Indians,Bad River Lodge & Casino,"P.O. Box 39, Odanah WI 54861",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Barona Group of Capitan Grande Band of Mission Indians,"1095 Barona Road, Lakeside CA 92040",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: rwelch@barona-nsn.gov,FALSE
Barona Group of Capitan Grande Band of Mission Indians,Barona Valley Ranch Resort and Casino,"1095 Barona Road, Lakeside CA 92040",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Bay Mills Indian Community,"12140 W. Lakeshore Drive, Brimley MI 49715",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: wgravelle@baymills.org,FALSE
Bay Mills Indian Community,Bay Mills Resort & Casino,"12140 W. Lakeshore Drive, Brimley MI 49715",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Bear River Band of the Rohnerville Rancheria,"266 Keisner Road, Loleta CA 95551",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: josefinacortez@brb-nsn.gov,FALSE
Bear River Band of the Rohnerville Rancheria,Bear River Casino Resort,"266 Keisner Road, Loleta CA 95551",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Bear River Band of the Rohnerville Rancheria,Bear River Pump and Play,"266 Keisner Road, Loleta CA 95551",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Berry Creek Rancheria of Maidu Indians of California,"5 Tyme Way, Oroville CA 95966",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: fsteele@berrycreekrancheria.com,FALSE
Berry Creek Rancheria of Maidu Indians of California,Gold Country Casino,"5 Tyme Way, Oroville CA 95966",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Big Sandy Band of Western Mono Indians,"P.O. Box 337 37302 Rancheria Lane, Auberry CA 93602",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: Ikipp@bsrnation.com,FALSE
Big Sandy Band of Western Mono Indians,Mono Wind Casino,"P.O. Box 337 37302 Rancheria Lane, Auberry CA 93602",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Big Sandy Band of Western Mono Indians,Mono Wind Casino,"P.O. Box 337 37302 Rancheria Lane, Auberry CA 93602",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Big Valley Band of Pomo Indians,"2726 Mission Rancheria Road, Lakeport CA 95453",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: FMcCloud@big-valley.net,FALSE
Big Valley Band of Pomo Indians,Konocti Vista Casino Resort & Marina,"2726 Mission Rancheria Road, Lakeport CA 95453",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Bishop Paiute Tribe,"50 Tu Su Lane, Bishop CA 93514",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: Steven.orihuela@bishoppaiute.org,FALSE
Bishop Paiute Tribe,Wanaaha Casino fka Paiute Palace,"50 Tu Su Lane, Bishop CA 93514",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,"P.O. Box 850, Browning MT 59417",Class Type: Class III   See 25 CFR 502.3 & 4,Email Address: rodg@blackfeetnation.com,FALSE
Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,The Peak,"P.O. Box 850, Browning MT 59417",Game Class Type:  Class II  See 25 CFR 502.3 & 4,TRUE
Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,Glacier Lil Peaks Casino,"P.O. Box 850, Browning MT 59417",Game Class Type:  Class II  See 25 CFR 502.3 & 4,TRUE
Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,Glacier Peaks Casino,"P.O. Box 850, Browning MT 59417",Game Class Type:  Class II  See 25 CFR 502.3 & 4,TRUE
Blue Lake Rancheria,"P.O. Box 428 428 Chartin Road, Blue Lake CA 95525",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: arla95525@yahoo.com,FALSE
Blue Lake Rancheria,Blue Lake Fuel and Fun,"P.O. Box 428 428 Chartin Road, Blue Lake CA 95525",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Blue Lake Rancheria,Blue Lake Casino,"P.O. Box 428 428 Chartin Road, Blue Lake CA 95525",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Bois Forte Band of Minnesota Chippewa Tribe, Minnesota","P.O. Box 16 5344 Lakeshore Drive, Nett Lake MN 55772",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: cchavers@boisforte-nsn.gov,FALSE
"Bois Forte Band of Minnesota Chippewa Tribe, Minnesota",Fortune Bay Casino,"P.O. Box 16 5344 Lakeshore Drive, Nett Lake MN",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Bois Forte Band of Minnesota Chippewa Tribe, Minnesota",,55772,,TRUE
Buena Vista Rancheria of Me-Wuk Indians,"4650 Coal Mine Rd, Ione CA 95640",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: jessalynn@bvtribe.com,FALSE
Buena Vista Rancheria of Me-Wuk Indians,Harrah's Northern California,"4650 Coal Mine Rd, Ione CA 95640",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Cabazon Band of Mission Indians,"84-245 B Indio Springs Dr., Indio CA 92203",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: nmarkwardt@cabazonindians-nsn.gov,FALSE
Cabazon Band of Mission Indians,Fantasy Springs Resort Casino,"84-245 B Indio Springs Dr., Indio CA 92203",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Cachil Dehe Band of Wintun Indians of the Colusa Indian Community,"3730 Hwy 45, Colusa CA 95932",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: chair@colusa-nsn.gov,FALSE
Cachil Dehe Band of Wintun Indians of the Colusa Indian Community,Wintun Mini Mart,"3730 Hwy 45, Colusa CA 95932",Game Class Type:  Class II  See 25 CFR 502.3 & 4,TRUE
Cachil Dehe Band of Wintun Indians of the Colusa Indian Community,Colusa Casino Resort,"3730 Hwy 45, Colusa CA 95932",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Cahuilla Band of Mission Indians of the Cahuilla Reservation,"P.O. Box 391760 52701 Highway 371, Anza CA 92539",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: chair@cahuilla-nsn.gov;,FALSE
Cahuilla Band of Mission Indians of the Cahuilla Reservation,,,tribalcouncil@cahuilla-nsn.gov,TRUE
Cahuilla Band of Mission Indians of the Cahuilla Reservation,Cahuilla Casino,"P.O. Box 391760 52701 Highway 371, Anza CA 92539",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Cahuilla Band of Mission Indians of the Cahuilla Reservation,Cahuilla Casino,"P.O. Box 391760 52701 Highway 371, Anza CA 92539",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Campo Band of Diegueno Mission of the Campo Indian Reservation,"36190 Church Rd.,Suite 1 PO Box 310, Campo CA 91906",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: mcuero@campo-nsn.gov,FALSE
Campo Band of Diegueno Mission of the Campo Indian Reservation,Golden Acorn Casino,"36190 Church Rd.,Suite 1 PO Box 310, Campo CA",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Campo Band of Diegueno Mission of the Campo Indian Reservation,,91906,,TRUE
Catawba Indian Nation,"996 Avenue of the Nations, Rock Hill SC 29730",Class Type:   See 25 CFR 502.3 & 4,Email Address: brian.harris@catawba.com,FALSE
Catawba Indian Nation,Catawba Two Kings Casino,"996 Avenue of the Nations, Rock Hill SC 29730",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Catawba Indian Nation,Catawba Two Kings Casino,"996 Avenue of the Nations, Rock Hill SC 29730",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Cayuga Nation,"P.O. Box 786, Seneca Falls NY 13148",Class Type: Class II   See 25 CFR 502.3 & 4,Email Address: chalftown@gocayuga.com,FALSE
Cayuga Nation,Lakeside Entertainment I,"P.O. Box 786, Seneca Falls NY 13148",Game Class Type:  Class II  See 25 CFR 502.3 & 4,TRUE
Cayuga Nation,Lakeside Entertainment II,"P.O. Box 786, Seneca Falls NY 13148",Game Class Type:  Class II  See 25 CFR 502.3 & 4,TRUE
Cayuga Nation,Lakeside Entertainment III (E3),"P.O. Box 786, Seneca Falls NY 13148",Game Class Type:  Class II  See 25 CFR 502.3 & 4,TRUE
Cayuga Nation,Lakeside Entertainment IV,"P.O. Box 786, Seneca Falls NY 13148",Game Class Type:  Class II  See 25 CFR 502.3 & 4,TRUE
Chemehuevi Indian Tribe of the Chemehuevi Nation,"P.O. Box 1976 1990 Palo Verde Dr., Havasu Lake CA 92363",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: Chairman@cit-nsn.gov,FALSE
Chemehuevi Indian Tribe of the Chemehuevi Nation,Havasu Landing Resort & Casino,"P.O. Box 1976 1990 Palo Verde Dr., Havasu Lake CA",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
Chemehuevi Indian Tribe of the Chemehuevi Nation,,92363,,TRUE
Cher-Ae Heights Indian Community of the Trinidad Rancheria,"P.O.Box 630, Trinidad CA 95570",Class Type: Class III   See 25 CFR 502.3 & 4,Email Address: aatkins@trinidadrancheria.com,FALSE
Cher-Ae Heights Indian Community of the Trinidad Rancheria,Cher-Ae-Heights Casino,"P.O.Box 630, Trinidad CA 95570",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cherokee Nation, Oklahoma","P.O. Box 948, Tahlequah OK 74465",Class Type: Class III   See 25 CFR 502.3 & 4,Email Address: chuck-hoskins@cherokee.or,FALSE
"Cherokee Nation, Oklahoma",Cherokee Casino - Fort Gibson,"P.O. Box 948, Tahlequah OK 74465",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cherokee Nation, Oklahoma",Cherokee Casino - Roland,"P.O. Box 948, Tahlequah OK 74465",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cherokee Nation, Oklahoma",Cherokee Casino - Sallisaw,"P.O. Box 948, Tahlequah OK 74465",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cherokee Nation, Oklahoma",Roland Travel Plaza,"P.O. Box 948, Tahlequah OK 74465",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cherokee Nation, Oklahoma",Cherokee Casino - South Coffeyville,"P.O. Box 948, Tahlequah OK 74465",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cherokee Nation, Oklahoma",Cherokee Nation Grove Casino,"P.O. Box 948, Tahlequah OK 74465",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cherokee Nation, Oklahoma",Cherokee Casino Ramona,"P.O. Box 948, Tahlequah OK 74465",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cherokee Nation, Oklahoma",Cherokee Casino - Tahlequah,"P.O. Box 948, Tahlequah OK 74465",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cherokee Nation, Oklahoma",Cherokee Casino - Tahlequah,"P.O. Box 948, Tahlequah OK 74465",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cherokee Nation, Oklahoma",Cherokee Casino - West Siloam Springs,"P.O. Box 948, Tahlequah OK 74465",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cherokee Nation, Oklahoma",Hard Rock Hotel & Casino,"P.O. Box 948, Tahlequah OK 74465",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cheyenne and Arapaho Tribes, Oklahoma","100 Red Moon Circle, Concho OK 73022",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: rwassana@c-a-tribes.org,FALSE
"Cheyenne and Arapaho Tribes, Oklahoma",Lucky Star Casino #108,"100 Red Moon Circle, Concho OK 73022",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cheyenne and Arapaho Tribes, Oklahoma",Lucky Star Travel Center Casino - Hammon,"100 Red Moon Circle, Concho OK 73022",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cheyenne and Arapaho Tribes, Oklahoma",Lucky Star Travel Center Casino - Concho,"100 Red Moon Circle, Concho OK 73022",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cheyenne and Arapaho Tribes, Oklahoma",Lucky Star Travel Center Casino - Concho,"100 Red Moon Circle, Concho OK 73022",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cheyenne and Arapaho Tribes, Oklahoma",Lucky Star Casino Clinton,"100 Red Moon Circle, Concho OK 73022",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cheyenne and Arapaho Tribes, Oklahoma",Lucky Star Casino - Concho,"100 Red Moon Circle, Concho OK 73022",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cheyenne and Arapaho Tribes, Oklahoma",Lucky Star Casino - Canton,"100 Red Moon Circle, Concho OK 73022",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Cheyenne and Arapaho Tribes, Oklahoma",Lucky Star Casino - Watonga,"100 Red Moon Circle, Concho OK 73022",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma","P.O. Box 1548, Ada OK 74821",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: bill.anoatubby@chickasaw.net,FALSE
"Chickasaw Nation, Oklahoma",Ada Gaming Center,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Chickasaw Travel Stop-Ada Gaming West,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Black Gold Casino - Wilson,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Chisholm Trail Casino,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",West Bay Casino and Resort,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Lakecrest Casino and Hotel,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Megastar Casino,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Newcastle Travel Center,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Riverstar Casino,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Chickasaw Travel Stop - Davis Gaming,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Chickasaw Travel Stop - Davis Gaming,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Tishomingo Tobacco Games,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Tishomingo Tobacco Games,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Artesian Casino,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Artesian Casino,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Jet Stream Casino,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Jet Stream Casino,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Winstar World Casino and Resort,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Salt Creek Casino,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Salt Creek Casino,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Texoma Casino,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Chickasaw Travel Stop - Thackerville Gaming,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Border Casino,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Treasure Valley Casino,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Washita Casino,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Madill Gaming Center,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Newcastle Gaming Center,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Riverwind Casino,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Goldsby Gaming Center,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
"Chickasaw Nation, Oklahoma",Gold Mountain Casino - Ardmore,"P.O. Box 1548, Ada OK 74821",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Chicken Ranch Rancheria of Me-wuk Indians of California,"P.O. Box 1159 9195 Red Tail Hawk Drive, Jamestown CA 95327",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: jmathiesen@tribal.com,FALSE
Chicken Ranch Rancheria of Me-wuk Indians of California,Chicken Ranch Casino Resort,"P.O. Box 1159 9195 Red Tail Hawk Drive, Jamestown",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Chicken Ranch Rancheria of Me-wuk Indians of California,,CA 95327,,TRUE
Chicken Ranch Rancheria of Me-wuk Indians of California,Chicken Ranch Casino & Event Hall,"P.O. Box 1159 9195 Red Tail Hawk Drive, Jamestown",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Chicken Ranch Rancheria of Me-wuk Indians of California,,CA 95327,,TRUE
Chicken Ranch Rancheria of Me-wuk Indians of California,Chicken Ranch Casino & Event Hall,"P.O. Box 1159 9195 Red Tail Hawk Drive, Jamestown",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Chicken Ranch Rancheria of Me-wuk Indians of California,,CA 95327,,TRUE
"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana","96 Clinic Road North, Box Elder MT 59521",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: chairman@chippewa-cree.org,FALSE
"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana",Northern Winz Casino II,"96 Clinic Road North, Box Elder MT 59521",Game Class Type:  Class III  See 25 CFR 502.3 & 4,TRUE
"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana",Northern Winz Hotel and Casino,"96 Clinic Road North, Box Elder MT 59521",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Choctaw Nation of Oklahoma,"P.O. Drawer 1210, Durant OK 74702",Class Type: Class II & III   See 25 CFR 502.3 & 4,Email Address: gbatton@choctawnation.com,FALSE
Choctaw Nation of Oklahoma,Pocola Travel Plaza,"P.O. Drawer 1210, Durant OK 74702",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Choctaw Nation of Oklahoma,Choctaw Landing-Hochatown,"P.O. Drawer 1210, Durant OK 74702",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Choctaw Nation of Oklahoma,Heavener Travel Plaza,"P.O. Drawer 1210, Durant OK 74702",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Choctaw Nation of Oklahoma,Choctaw Casino - Hugo Travel Center,"P.O. Drawer 1210, Durant OK 74702",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Choctaw Nation of Oklahoma,Choctaw Casino - Idabel Travel Plaza,"P.O. Drawer 1210, Durant OK 74702",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Choctaw Nation of Oklahoma,Choctaw Casino - Idabel Travel Plaza,"P.O. Drawer 1210, Durant OK 74702",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Choctaw Nation of Oklahoma,Choctaw Casino - Antlers Travel Plaza,"P.O. Drawer 1210, Durant OK 74702",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Choctaw Nation of Oklahoma,Choctaw Casino - Antlers Travel Plaza,"P.O. Drawer 1210, Durant OK 74702",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
Choctaw Nation of Oklahoma,Choctaw Casino - Antlers Travel Plaza,"P.O. Drawer 1210, Durant OK 74702",Game Class Type:  Class II & III  See 25 CFR 502.3 & 4,TRUE
